0,1,2,3,4,5,6,7,8,9
402265,6,.03,78,8,.04,71,3,.02,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,13,.0844,65,7,.0694,65
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,5,.03,78,7,.04,71
402265,10,.0694,71,7,.05,71,7,.05,60
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,7,.0444,71,6,.0628,60
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,10,.06,71,8,.04,78
402265,14,.09,71,13,.08,71,6,.06,60
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,7,.0433,71,5,.0289,71
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,7,.04,71,5,.04,65
402265,11,.0694,71,7,.04,71,5,.02,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,11,.0811,71,4,.0417,71
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,8,.06,65,7,.05,65
402265,2,.01,78,6,.04,71,5,.05,65
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,7,.0467,71,5,.0578,56
402268,0,0,0,0,0,0,0,0,0
402260,0,0,0,0,0,0,0,0,0
402261,0,0,0,0,0,0,0,0,0
402262,0,0,0,0,0,0,0,0,0
402263,0,0,0,0,0,0,0,0,0
402264,0,0,0,6,.04,71,1,.01,71
402265,8,.05,71,12,.0694,71,5,.05,71
402266,0,0,0,0,0,0,0,0,0
402267,0,0,0,12,.0922,65,7,.0978,56
402268,0,0,0,0,0,0,0,0,0
